Car Model,Efficiency (Wh/km),Range (km),Battery (kWh),Price (GBP),Availability
Tesla Model Y RWD,158.0,380.0,60.0,41990.0,Available
Hyundai Kona Electric 64 kWh,164.0,390.0,64.0,37750.0,Discontinued
Skoda Enyaq 85,167.0,460.0,77.0,40560.0,Available
BMW iX3,192.0,385.0,74.0,64165.0,Discontinued
Dacia Spring Electric 80,157.0,175.0,27.5,,
GAC AION UT 60 kWh,182.0,330.0,60.0,28950.0,
CUPRA Raval 155 kW - 52 kWh,157.0,330.0,51.7,28495.0,Available
Mazda 6e 78 kWh,164.0,470.0,77.0,38995.0,Available
Tesla Model 3 RWD,143.0,400.0,57.0,42990.0,Discontinued
BYD ATTO 3,183.0,330.0,60.5,37195.0,Discontinued
Tesla Model 3 Premium AWD,142.0,555.0,79.0,49990.0,Available
Hyundai IONIQ 5 N,205.0,390.0,80.0,65000.0,Available
Toyota bZ4X Touring AWD 74.7 kWh,184.0,385.0,71.0,51695.0,Available
BYD DOLPHIN 60.4 kWh,173.0,350.0,60.5,30205.0,Available
BYD SEAL U 87 kWh Design,205.0,425.0,87.0,,Available
BMW iX1 xDrive30,170.0,380.0,64.7,47465.0,Discontinued
Mercedes-Benz CLA Shooting Brake 250+,149.0,570.0,85.0,44250.0,Available
Mercedes-Benz EQC 400 4MATIC,216.0,370.0,80.0,74330.0,Discontinued
TOGG T10X Long Range RWD,195.0,435.0,85.0,,Available
KGM Torres EVX 80.6 kWh,197.0,410.0,80.6,,Available
Hyundai IONIQ Electric,153.0,250.0,38.3,32050.0,Discontinued
Tesla Model 3 Performance,153.0,490.0,75.0,59990.0,Discontinued
BMW iX1 eDrive20,163.0,400.0,65.2,33315.0,Available
Mercedes-Benz EQS 450+,169.0,720.0,122.0,104540.0,Available
Skoda Elroq 85,171.0,450.0,77.0,35560.0,Available
Omoda E5,178.0,330.0,58.9,33055.0,Available
XPENG P7+ RWD Long Range,163.0,460.0,74.9,,Available
MG ZS EV Long Range,185.0,370.0,68.3,32995.0,Discontinued
Kia EV2 42.2 kWh,171.0,240.0,41.0,26995.0,Available
Kia e-Niro 64 kWh,171.0,375.0,64.0,34995.0,Discontinued
Dacia Spring Electric 70,145.0,165.0,24.0,11990.0,Available
Nissan LEAF 40 kWh,166.0,235.0,39.0,28290.0,Discontinued
Volkswagen ID.4 Pro,173.0,445.0,77.0,46035.0,Discontinued
Fiat Grande Panda,168.0,260.0,43.8,20995.0,Available
Tesla Model 3 Long Range AWD,155.0,490.0,76.0,,Discontinued
Volkswagen ID.7 86 kWh,164.0,525.0,86.0,54930.0,Available
Volkswagen ID. Polo 85 kW - 37 kWh,153.0,245.0,37.5,23945.0,Available
Kia EV3 Standard Range,169.0,325.0,55.0,31555.0,Available
Mercedes-Benz EQS 450+,172.0,685.0,118.0,112620.0,Discontinued
Changan Deepal S07 Standard,190.0,410.0,78.0,39990.0,Available
Hyundai IONIQ 5 84 kWh AWD,180.0,445.0,80.0,50900.0,Available
Citroen e-C3 Aircross Extended Range 54 kWh,184.0,290.0,53.5,23495.0,Available
Tesla Model 3 Standard Range Plus,146.0,350.0,51.0,40990.0,Discontinued
BMW i3 120 Ah,161.0,235.0,37.9,33805.0,Discontinued
